id;pro_name;pro_description;pro_price;pro_quantity;catt_id;pro_date;pro_promotion;pro_mark;sub_category_id
1;inasmuch unbearably high-level;reformulate tough wisely;4801.03;25436;4768;2024-09-08T04:20:57;29719;adopt rundown;1
2;tanker;satisfy a exit;12726.67;23559;25827;2024-09-08T08:50:49;9336;in alligator;2
3;who helpfully oh;cribbage span;28076.58;29419;4319;2024-09-07T18:35:12;26646;unbearably mockingly;3
4;woot heavily;lively;21948.23;7819;17819;2024-09-07T16:31:59;23021;eek lonely whereas;4
5;so warmly reanimate;dungeon loving;25789.19;19134;11614;2024-09-07T10:45:53;11492;delightfully;5
6;after;inside brim;27752.37;23859;27965;2024-09-07T16:06:16;1905;shameless idealize;6
7;gosh dictaphone;mother international;3276.5;17610;12218;2024-09-07T20:11:30;16607;software;7
8;wholly;minus beseech;10969.46;6419;466;2024-09-07T14:40:20;11411;aw;8
9;application flick console;pfft downforce;29640.01;20135;29805;2024-09-08T01:49:38;1418;mama ha;9
10;queasily readily sentimentalise;chops stencil minus;30727.82;22731;12381;2024-09-07T14:40:25;6378;subexpression nice vastly;10
