id;catt_name;catt_description;cat_id;catt_icon;category_id
1;justify uh-huh;boo oddly;30820;when;1
2;bitmap spring gosh;ultimately morale;23473;properly traverse disincentivise;2
3;before meanwhile;automate ew;13761;dreamily lest needily;3
4;communist hmph;kinase;11159;and friendship;4
5;pfft including;or gah pastel;13017;drat;5
6;young hm;till urgently;9498;runner if;6
7;ugh notwithstanding provided;near enchant;8973;overconfidently among;7
8;capital anenst;greatly;5994;truss soon;8
9;worth thick below;off and fairly;18876;strident yet perfectly;9
10;for;insignificant yowza flimsy;2938;brr;10
